BV1CN411o7WE	一个男人骑着自行车走下一段楼梯。
BV1et411J7bp	一名士兵从直升机上跳伞。
BV1Ck4y1r77P	一只熊猫站在木栅栏上环顾四周
BV194411v7wq	一只小海獭躺在一只大海獭的身上。
BV1FJ411q7rH	一只白鲸张着嘴巴吃鱼。
BV1H64y1R7G2	一个穿着红色上衣皮靴的女人对镜自拍
BV1iv411s79P	消防车被困在小区大门口
BV1ib4y127bB	车祸后一群人在抢救困在面包车中的伤者
BV16K4y1f7Gm	一个人手里拿着一只小仓鼠。
BV1eB4y1w7By	客厅的地板上有一只白猫和一个扫地机器人。
BV1A7411L7WZ	一只兔子跳过一组台阶然后跳下去。
BV11K4y1f7kN	一个戴鱼人头套的男人在超市里走动
BV1HK4y1g7hB	一群男人正在体育馆里打篮球。
BV1Ji4y1K7z2	新郎和新娘走进婚礼现场。
BV1J64y1t7ry	一个男人把西瓜扔在地上。
BV13C4y1h719	一个戴着白色面具的男人正在跳舞。
BV1754y1D7NG	两位身着正装的女士演示如何倒水
BV1FP4y1W741	一座高楼发生火灾。
BV1F7411i7Xo	一群人在大楼里玩激光枪战。
BV1g5411P7bf	狗站在洗衣机旁边。
BV1ak4y1674c	公交车司机站起来抱拳回礼。
BV1GE411K7cS	一名戴着口罩的男子站在拳击台上敲击反应训练器。
BV12L4y1a7sE	一个女孩在展示鹦鹉。
BV18K4y1j7JQ	一个女孩在体育馆里打羽毛球
BV16y4y1q7B8	一个男子向结冰的篮筐投球。
BV1dv411G7bH	一个男人在烤炉上做饭。
BV15K411p77G	一男一女正在示范踢腿击掌动作。
BV1et41167kE	一个人在做街舞动作。
BV1gV411t7vH	一名男子正在打理自己的头发。
BV16t4y1r76u	一个男人正在吃一根棍子上的鸡翅。
BV1854y1e7w2	一个男人在健身房里做手倒立，其他人在看。
BV1ap4y1h7a7	一位戴着口罩的女士正在做引体向上。
BV1dv411s7e9	一个人用刀将肉切成小块并放进卷饼里。
BV1Jb4y1Q7en	一个小女孩正在采茶叶。
BV1fy4y1q7aT	一个人在展示盘头发。
BV1B54y1B7VR	一个男人在健身房里举起杠铃。
BV1cp4y1b7om	一个女人正在把头发扎成马尾辫。
BV1D64y1s7yc	一名男子用铲子在地上挖了一个洞。
BV1hv411N7jw	一面中国国旗在风中飘扬。
BV1jh411C7B2	雪崩发生后很多人被埋在雪中。
BV15t4y197hn	一位在顾客胸前工作的纹身师。
BV1Dp4y1r7BJ	一个女孩正在理发店里做头发。
BV16k4y1C7DY	一名身穿黑色连帽衫的男子在一堵混凝土墙前练习空翻。
BV1FJ411Q7Sb	一个穿着黄色上衣的女人带着帽子跳街舞。
BV1az4y1y722	一个身穿军装的男人正在活动身体并投掷手榴弹。
BV1bt411k7aB	一个男人和一个女人在共同展示巴西柔术。
BV125411A7KG	医生正在给婴儿注射疫苗。
BV1fE411n7CX	一个人在弯道上骑山地自行车。
BV16v411V79Y	一个人抱着一只棕色的小狗。
BV14v411s7D8	一个男人的耳朵上滴着水。
BV12b411H7XM	一个女人带着手套给菠萝削皮。
BV1EU4y1j7aq	将一种喷雾喷洒在汽车门上。
BV1164y1b7qF	篮球运动员跳起来在公园里打篮球。
BV1Eo4y1Q71z	一位男子在户外集市喝了一杯由甘蔗榨成的绿色果汁，并和一群小孩干杯。
BV1C64y1278G	一位女士对着镜头跳手指舞。
BV19Z4y1x7FT	一个穿着绿色上衣蓝色裤子的男人从水中捕捞出一条旗鱼
BV1DU4y1J7vg	小猫被人抓着在纸上按下抓印。
BV1Jb4y1Q7FF	一个男人正在用西瓜和菠萝喂鳄龟。
BV11t4y197qU	一只袋熊正在吃一片黄色的叶子。
BV1ht4y1X7md	鱼在瀑布中逆流飞跃而起。
BV14K4y1U7yk	一个人正在用粉色指甲油做美甲。
BV1iX4y1w74H	一个饲养员为马洗澡梳毛
BV1dB4y1F7ns	男子在山路上骑自行车
BV1iX4y1F7EE	一列火车飞速通过站台
BV1cE41177TB	男人在练舞房的镜子前跳舞。
BV1EQ4y1f7H4	一个人在吹萨克斯，一只松鼠在旁边听着。
BV1H4411p7Rc	一位女士正在做引体向上。
BV174411778C	一个小男孩站在一只狼旁边模仿狼叫。
BV17V411J7Eg	一名女子蹦蹦跳跳地跑向汽车。
BV1JE411W7xF	一个人抚摸一只猫。
BV12b411u7sb	一个穿蓝色短袖的男人正在单杠上做引体向上。
BV1FD4y1m7Cd	几只小企鹅跳着下楼梯。
BV16y4y1n7KU	一个穿红衬衫的男人正在做腿部锻炼。
BV15K4y1x77w	一名男子在室外对着镜头讲话。
BV1hf4y1k721	一个男人从机器中取出面包。
BV1G4411G7Qy	一只狗正在吃碗里的食物，一头驴踢了狗一下。
BV1ho4y1S7zW	一个短发的女人正在化妆。
BV1h64y167dW	一群孩子正在打羽毛球。
BV1Bt4y1S7a5	一个女人站在街道中央，试图打开她的雨伞。
